_id,SeriesSimilarity,AuthorSimilarity,AnnotationSimilarity,ISBN2,ISBN1
ObjectId("5c5b2c819d10910cec54c24b"),0,0,0.009989033123111555,9780000000000,9780000000000
ObjectId("5c5b2c819d10910cec54c24c"),0,0.9486832980505137,0.9999999999999999,9780000000000,9780000000000
ObjectId("5c5b2c819d10910cec54c24d"),0,0,0,9780000000000,9780000000000
ObjectId("5c5b2c819d10910cec54c24e"),0,0,0,9780000000000,9780000000000
ObjectId("5c5b2c819d10910cec54c24f"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c250"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c251"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c252"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c253"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c254"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c255"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c256"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c257"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c258"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c259"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c25a"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c25b"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c25c"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c25d"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c25e"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c25f"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c260"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c261"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c262"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c263"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c264"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c265"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c266"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c267"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c268"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c269"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c26a"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c26b"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c26c"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c26d"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c26e"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c26f"),0,0,0.01729610364571267,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c270"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c271"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c272"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c273"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c274"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c275"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c276"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c277"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c278"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c279"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c27a"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c27b"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c27c"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c27d"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c27e"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c27f"),0,0,0.008935488057389985,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c280"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c281"),0,0,0.012308683231111546,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c282"),0,0,0.01734224908923563,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c283"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c284"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c285"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c286"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c287"),0,0,0.01253386682411358,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c288"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c289"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c28a"),0,0,0.010219816466600348,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c28b"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c28c"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c28d"),0,0,0.015774470542092016,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c28e"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c28f"),0,0,0.008516440065659108,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c290"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c291"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c292"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c293"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c294"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c295"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c296"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c297"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c298"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c299"),0,0,0.058591040465053104,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c29a"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c29b"),0,0,0.008803208545137008,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c29c"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c29d"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c29e"),0,0,0.010905091049403102,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c29f"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a0"),0,0,0.012130033878382483,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a1"),0,0,0.03069880754085029,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a2"),0,0,0.03430014153500663,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a3"),0,0,0.019351021980997068,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a4"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a5"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a6"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a7"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a8"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2a9"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2aa"),0,0,0.030021240045173637,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2ab"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2ac"),0,0,0.023197125373892322,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2ad"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2ae"),0,0,0.009989033123111555,9780000000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2af"),0,0,0,9780000000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b0"),0,0,0.016427692243198958,9780000000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b1"),0,0,0.02862075668635498,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b2"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b3"),0,0,0.00680141461025034,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b4"),0,0,0.032641166190154156,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b5"),0,0,0.008478063683004728,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b6"),0,0,0.028923124246082392,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b7"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b8"),0,0,0.0134698224591096,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2b9"),0,0,0.04613565405821358,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2ba"),0,0,0.016984449987059325,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2bb"),0,0,0.05063411083463803,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2bc"),0,0,0.01871959906389219,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2bd"),0,0,0.007811205002504873,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2be"),0,0,0.02656975046379697,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2bf"),0,0,0.030132838513706017,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c0"),0,0,0.023856775653610295,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c1"),0,0,0.014550566540745703,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c2"),0,0,0.02523288706083396,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c3"),0,0,0.04944149075536335,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c4"),0,0,0.0396128502781502,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c5"),0,0,0.01490309108620647,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c6"),0,0,0.006876328943448513,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c7"),0,0,0.0024011340967705704,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c8"),0,0,0.027694181813152804,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2c9"),0,0,0.01494217799753935,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2ca"),0,0,0.016151204764722524,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2cb"),0,0,0.029543467713725655,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2cc"),0,0,0.026293996078140626,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2cd"),0,0,0.04626383937735312,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2ce"),0,0,0.021589978815966124,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2cf"),0,0,0.01548806843926844,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d0"),0,0,0.031186696310151606,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d1"),0,0,0.02479635655978915,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d2"),0,0,0.0018603203931840452,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d3"),0,0,0.018055852092229138,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d4"),0,0,0.02531086615750524,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d5"),0,0,0.026240965823151708,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d6"),0,0,0,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d7"),0,0,0.012629092282359259,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d8"),0,0,0.0018874169386930233,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2d9"),0,0,0.020051299227843957,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2da"),0,0,0.0022357217940704617,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2db"),0,0,0.019130063483336644,9780010000000,9780000000000
ObjectId("5c5b2c819d10910cec54c2dc"),0,0,0.011589458504184968,9780010000000,9780000000000
